Papel   Cotacao P/L        P/VP    PSR        DY      P/Ativo    P/Cap.Giro P/EBIT     P/ACL       EV/EBIT     EV/EBITDA Mrg.Ebit    Mrg.Liq.    Liq.Corr. ROIC        ROE   Liq.2meses
JBSS3   23.34   42.92      1.23    0.144      0.0428  0.241      1.46       -0.95      -0.63       -2.43       -3.01   -0.151      0.0035      1.70    -0.3443     0.0287 177599000.00
PTQS4   189.46  43.43      2.19    4.717      0.00    1.577      9.89       -7214.41   -35.73      -7466.35    -7466.35 -0.0007     0.1137      3.32    -0.0002     0.0504 0.00   
UOLL4   19.62   43.52      2.35    2.054      0.00    1.403      457.14     15.14      -12.83      16.49       16.49   0.1356      0.0469      1.01    0.1057      0.054 0.00   
RAIL3   22.68   43.72      2.64    3.991      0.0029  0.853      7.39       12.71      -1.94       16.37       10.04   0.314       0.0914      1.99    0.0793      0.0604 317438000.00
CGAS3   124.40  46.86      37.10   1.035      0.0259  1.177      66.88      5.73       -2.01       7.59        6.36    0.1808      0.0221      1.05    0.2771      0.7918 12463.30
RADL3   29.57   47.07      8.88    1.545      0.0087  2.620      14.03      25.34      -22.37      26.58       14.64   0.061       0.0334      1.47    0.1419      0.1886 165309000.00
CEPE5   40.12   48.28      2.01    0.355      0.00    0.224      -12.52     2.39       -0.35       8.19        6.21    0.149       0.0074      0.93    0.1044      0.0416 0.00   
CGAS5   129.00  48.59      38.48   1.073      0.0274  1.220      69.35      5.94       -2.09       7.80        6.54    0.1808      0.0221      1.05    0.2771      0.7918 105859.00
PLTO6   10.47   50.81      692616.00 0.690      0.00    0.901      2.90       55.05      -1.55       56.35       56.35   0.0125      0.0136      3.87    0.0174      13632.00 0.00   
CEAB3   7.76    51.44      0.84    0.375      0.00    0.273      1.54       5.42       -1.39       6.79        2.59    0.0692      0.0073      1.59    0.069       0.0164 26074200.00
CEPE6   43.00   51.75      2.15    0.381      0.00    0.240      -13.42     2.56       -0.37       8.36        6.34    0.149       0.0074      0.93    0.1044      0.0416 0.00   
SULA11  22.25   52.23      1.13    0.432      0.0027  0.314      0.85       -13.07     -4.60       6.62        8.51    -0.033      0.0083      2.29    -0.0562     0.0217 0.00   
SULA3   7.43    52.32      1.13    0.433      0.0027  0.314      0.85       -13.09     -4.61       6.59        8.48    -0.033      0.0083      2.29    -0.0562     0.0217 0.00   
HBSA3   3.66    52.41      1.76    1.386      0.00    0.434      3.38       6.04       -0.81       13.77       7.73    0.2293      0.0264      2.44    0.084       0.0335 47477700.00
JOPA4   33.80   52.81      0.63    0.168      0.0267  0.152      0.40       4.06       2.45        10.76       9.18    0.0414      0.0065      2.07    0.0564      0.0119 0.00   
PLTO5   10.94   53.09      723708.00 0.721      0.00    0.942      3.03       57.52      -1.62       58.82       58.82   0.0125      0.0136      3.87    0.0174      13632.00 0.00   
